pmcid	extension	filename
PMC8573683	tex	sj-tex-8-sjp-10.1177_14034948211008579.tex
PMC8577735	py	pone.0259682.s002.py
PMC2718226	m	10928_2009_9120_MOESM3_ESM.m
PMC2718226	m	10928_2009_9120_MOESM4_ESM.m
PMC8802876	r	NIHMS1725297-supplement-SOA_models_GAMM_AQ_R.r
PMC8890654	c	pone.0264060.s001.c
PMC2722653	sql	1471-2105-10-221-S2.sql
PMC2725316	tex	pcbi.1000494.s001.tex
PMC8985540	rmd	Suppl_Data.Rmd
PMC9070880	gms	pone.0267439.s004.gms
PMC9073276	f08	RA-009-C9RA01983A-s002.f08
PMC9073276	f08	RA-009-C9RA01983A-s003.f08
PMC9073276	f08	RA-009-C9RA01983A-s004.f08
PMC9073276	f08	RA-009-C9RA01983A-s005.f08
PMC9073276	f08	RA-009-C9RA01983A-s006.f08
PMC9073276	f08	RA-009-C9RA01983A-s007.f08
PMC9075630	do	pone.0268249.s017.do
PMC2732283	pl	btn479_bioinf-2008-0698-File007.pl
PMC2732283	pm	btn479_bioinf-2008-0698-File008.pm
PMC9302839	do	pone.0271374.s017.do
PMC2736929	m	1752-0509-3-79-S2.m
PMC9306521	svg	GPS-37-0-s002.svg
PMC9390927	do	pone.0271585.s001.do
PMC2745074	tex	pone.0006970.s002.tex
PMC2745074	tex	pone.0006970.s003.tex
PMC2745074	tex	pone.0006970.s004.tex
PMC2745074	tex	pone.0006970.s005.tex
PMC2745074	tex	pone.0006970.s006.tex
PMC2745586	tex	1471-2105-10-S8-S4-S2.tex
PMC2745588	owl	1471-2105-10-S8-S6-S2.owl
PMC2745588	props	1471-2105-10-S8-S6-S8.props
PMC2745588	props	1471-2105-10-S8-S6-S9.props
PMC2752623	tex	btp486_BIOINF_2009_0775_R1_Supplement.tex
PMC2755823	sparql	12859_2009_3370_MOESM7_ESM.sparql
PMC2758880	r	1742-5573-6-5-S1.R
PMC9601405	ipynb	SC-013-D2SC03016K-s008.ipynb
PMC9601405	py	SC-013-D2SC03016K-s009.py
PMC9601405	yml	SC-013-D2SC03016K-s010.yml
PMC2761902	r	1471-2105-10-288-S2.r
PMC2770083	pl	1471-2164-10-489-S5.PL
PMC2775728	tex	1897-4287-7-16-S1.tex
PMC2775728	tex	1897-4287-7-16-S2.tex
PMC2783169	cgi	1471-2164-10-539-S2.CGI
PMC2789744	ps	1471-2105-10-389-S4.PS
PMC2789744	ps	1471-2105-10-389-S5.PS
PMC2789744	ps	1471-2105-10-389-S6.PS
PMC2789744	ps	1471-2105-10-389-S7.PS
PMC2789744	ps	1471-2105-10-389-S8.PS
PMC2789972	ps	NIHMS154308-supplement-3.ps
PMC2790471	mat	1471-2105-10-394-S2.MAT
PMC9817411	r	13063_2022_6967_MOESM2_ESM.r
PMC9817411	r	13063_2022_6967_MOESM3_ESM.r
PMC9817411	r	13063_2022_6967_MOESM4_ESM.r
PMC2791869	tex	pone.0008356.s005.tex
PMC9836297	sps	pone.0280019.s015.sps
PMC9836297	sps	pone.0280019.s016.sps
PMC9836525	svg	phytokeys-211-045_article-89408__-s001.svg
PMC9836525	svg	phytokeys-211-045_article-89408__-s002.svg
PMC2804711	xsl	1471-2407-9-441-S2.XSL
PMC9906935	rmd	12915_2022_1488_MOESM3_ESM.rmd
PMC9906935	rmd	12915_2022_1488_MOESM4_ESM.rmd
PMC2808166	r	1471-2105-10-384-S13.R
PMC2808166	r	1471-2105-10-384-S14.R
PMC9934366	r	pone.0281877.s002.R
PMC9960970	svg	EMP2-4-e12901-s001.svg
PMC2816680	ps	pcbi.1000664.s004.ps
PMC2816680	ps	pcbi.1000664.s005.ps
PMC2816680	ps	pcbi.1000664.s006.ps
PMC2816680	ps	pcbi.1000664.s007.ps
PMC2816680	ps	pcbi.1000664.s008.ps
PMC2816680	ps	pcbi.1000664.s009.ps
PMC2816680	ps	pcbi.1000664.s010.ps
PMC2816680	ps	pcbi.1000664.s011.ps
PMC2816680	ps	pcbi.1000664.s012.ps
PMC2816680	ps	pcbi.1000664.s013.ps
PMC2816680	ps	pcbi.1000664.s014.ps
PMC2816680	ps	pcbi.1000664.s015.ps
PMC2824678	java	1471-2105-11-5-S1.JAVA
PMC2824678	java	1471-2105-11-5-S2.JAVA
PMC2827470	ps	1471-2199-11-10-S4.PS
PMC2827470	ps	1471-2199-11-10-S5.PS
PMC10011327	svg	11239_2022_2748_MOESM1_ESM.svg
PMC2828108	ps	btp698_bioinf-2009-1485-File001.ps
PMC2828121	tex	btq014_bioinf-2009-1599-File016.tex
PMC2829012	r	1471-2105-11-72-S1.R
PMC2829529	m	1471-2105-11-77-S1.M
PMC10019715	r	pone.0281086.s013.R
PMC10019715	r	pone.0281086.s014.R
PMC10019715	r	pone.0281086.s015.R
PMC10019715	r	pone.0281086.s016.R
PMC10027599	tex	148_2023_943_MOESM1_ESM.tex
PMC2834638	r	1471-2164-11-80-S2.r
PMC2834638	r	1471-2164-11-80-S3.r
PMC2834638	pl	1471-2164-11-80-S5.pl
PMC2834638	r	1471-2164-11-80-S6.R
PMC2834638	r	1471-2164-11-80-S7.R
PMC2835736	ps	pone.0009490.s001.ps
PMC2835736	ps	pone.0009490.s002.ps
PMC2837029	r	1471-2105-11-78-S1.R
PMC2837029	r	1471-2105-11-78-S2.R
PMC2837029	r	1471-2105-11-78-S3.R
PMC2841208	r	1471-2105-11-104-S3.R
PMC10064990	sas	peerj-11-14994-s001.sas
PMC10064990	sas	peerj-11-14994-s002.sas
PMC10064990	sas	peerj-11-14994-s003.sas
PMC10081774	do	pone.0278188.s011.do
PMC10081774	do	pone.0278188.s012.do
PMC10081774	do	pone.0278188.s013.do
PMC10081774	do	pone.0278188.s014.do
PMC10081774	do	pone.0278188.s015.do
PMC10084071	do	EJPR-62-135-s002.do
PMC2847716	r	gb-2010-11-1-r4-S7.r
PMC2847716	r	gb-2010-11-1-r4-S8.r
PMC2848236	pl	1471-2105-11-139-S2.PL
PMC2851608	py	1471-2105-11-151-S1.PY
PMC2853501	m	1752-0509-4-28-S1.M
PMC2853501	m	1752-0509-4-28-S2.M
PMC10118180	nb	pone.0284723.s001.nb
PMC10118180	jl	pone.0284723.s002.jl
PMC10132548	m	pone.0284122.s001.m
PMC10132548	sps	pone.0284122.s003.sps
PMC2864571	tab	gb-2010-11-3-r31-S11.TAB
PMC2864573	ps	gb-2010-11-3-r33-S1.PS
PMC2868012	r	1471-2105-11-194-S1.R
PMC2872003	tex	btq147_bioinf-2010-0234-File008.tex
PMC10167110	r	10021_2022_772_MOESM2_ESM.r
PMC2873529	m	1471-2105-11-163-S1.M
PMC10192318	py	41598_2023_34248_MOESM1_ESM.py
PMC10192318	py	41598_2023_34248_MOESM2_ESM.py
PMC2880029	r	1471-2105-11-208-S1.R
PMC2880029	r	1471-2105-11-208-S2.R
PMC2881400	tex	btq216_Hormozdiari.tex
PMC10208466	r	pone.0285330.s004.R
PMC2882361	nbp	1741-7007-8-69-S1.nbp
PMC2882925	py	1471-2180-10-139-S1.PY
PMC2885361	pl	1471-2407-10-195-S1.PL
PMC2885367	tab	1471-2164-11-305-S2.TAB
PMC2885367	tab	1471-2164-11-305-S3.TAB
PMC2885367	tab	1471-2164-11-305-S4.TAB
PMC2885367	tab	1471-2164-11-305-S5.TAB
PMC2885367	tab	1471-2164-11-305-S6.TAB
PMC2885367	tab	1471-2164-11-305-S7.TAB
PMC2885367	tab	1471-2164-11-305-S8.TAB
PMC2887412	gms	1752-0509-4-53-S1.GMS
PMC2887794	r	1752-0509-4-81-S2.R
PMC10231781	do	pone.0286369.s001.do
PMC2890568	tab	1471-2164-11-369-S1.TAB
PMC10241359	r	pone.0286538.s001.R
PMC2892504	r	1756-0500-3-142-S8.R
PMC2894801	pl	1471-2164-11-294-S5.PL
PMC10266616	r	pgph.0001721.s007.R
PMC10280218	ipynb	peerj-cs-08-1141-s001.ipynb
PMC10280388	mat	peerj-cs-09-1382-s001.mat
PMC10280388	mat	peerj-cs-09-1382-s002.mat
PMC10280388	mat	peerj-cs-09-1382-s003.mat
PMC10280388	mat	peerj-cs-09-1382-s004.mat
PMC10280388	m	peerj-cs-09-1382-s008.m
PMC10280388	m	peerj-cs-09-1382-s009.m
PMC10280388	m	peerj-cs-09-1382-s010.m
PMC10280431	py	peerj-cs-09-1338-s002.py
PMC10280629	c	peerj-cs-09-1309-s001.c
PMC10280650	m	peerj-cs-09-1357-s001.m
PMC2900267	r	1471-2164-11-365-S3.R
PMC2900278	m	1471-2105-11-299-S4.M
PMC2900278	m	1471-2105-11-299-S5.M
PMC2900278	m	1471-2105-11-299-S6.M
PMC2904795	pl	1756-0500-3-173-S1.PL
PMC10313024	r	pntd.0011435.s004.R
PMC10318751	sh	40168_2023_1580_MOESM1_ESM.sh
PMC10318751	sh	40168_2023_1580_MOESM2_ESM.sh
PMC10318751	sh	40168_2023_1580_MOESM3_ESM.sh
PMC2911465	owl	1756-0500-3-175-S1.OWL
PMC2911465	owl	1756-0500-3-175-S2.OWL
PMC10322843	r	41598_2023_37379_MOESM2_ESM.r
PMC10329818	r	peerj-11-15601-s003.r
PMC2912893	r	1471-2105-11-386-S1.R
PMC2913931	gml	1752-0509-4-96-S1.GML
PMC2913931	pl	1752-0509-4-96-S13.PL
PMC2913931	pl	1752-0509-4-96-S14.PL
PMC2913931	pl	1752-0509-4-96-S15.PL
PMC2913931	pl	1752-0509-4-96-S16.PL
PMC2913931	gml	1752-0509-4-96-S2.GML
PMC2921385	nb	1752-0509-4-98-S2.NB
PMC2923634	r	1471-2105-11-403-S7.r
PMC2925829	plt	1752-0509-4-109-S5.PLT
PMC2925829	plt	1752-0509-4-109-S6.PLT
